upc,item,brand,image,category
041333415017,Duracell AA Cell Battery - 4 pack,Duracell,https://images-na.ssl-images-amazon.com/images/I/513Y00ivaqL.jpg,6.75,Health & Household
079400266545,Dove Men+Care 2 in 1 Shampoo and Conditioner Fresh and Clean - 12 oz,Dove,https://images-na.ssl-images-amazon.com/images/I/41ar4jT-GGL.jpg,4.99,Beauty & Personal Care
038000198861,Kellogg’s Froot Loops Breakfast Cereal - 10.1 oz,Froot Loops,https://images-na.ssl-images-amazon.com/images/I/511EzVNuGxL.jpg,7.85,Grocery & Gourmet Food
076808280739,Barilla Penne Pasta - 16 oz,Barilla,https://images-na.ssl-images-amazon.com/images/I/41I4fnLpnPL.jpg,4.99,Grocery & Gourmet Food
076808280081,Barilla Spaghetti Pasta - 16 oz,Barilla,https://images-na.ssl-images-amazon.com/images/I/41L9ahjI2-L.jpg,2.84,Grocery & Gourmet Food
037600106139,Skippy Peanut Butter Chunky - 28 oz,SKIPPY,https://images-na.ssl-images-amazon.com/images/I/51NFpUePywL.jpg,7.49,Grocery & Gourmet Food
051500255162,Jif Creamy Peanut Butter - 16 oz,Jif,https://images-na.ssl-images-amazon.com/images/I/41cBqElBwJL.jpg,4.65,Grocery & Gourmet Food
051500006931,Smucker's Concord Grape Jelly - 18 oz,Smucker's,https://images-na.ssl-images-amazon.com/images/I/51w9J7joeqL.jpg,2.84,Grocery & Gourmet Food
024000011859,Del Monte PINEAPPLE SLICES in 100% Pineapple Juice - 20 oz,Del Monte,https://images-na.ssl-images-amazon.com/images/I/51XNrDFhewL.jpg,3.99,-
017400118457,Minute Instant Brown Rice Whole Grain - 14 oz,Minute,https://images-na.ssl-images-amazon.com/images/I/51P7aWSlaaL.jpg,2.44,Grocery & Gourmet Food
017400222529,Minute Jasmine Rice - 12 oz,Minute,https://images-na.ssl-images-amazon.com/images/I/51AeQnhlfyL.jpg,2.78,Grocery & Gourmet Food
017400118051,Minute White Rice - 14 oz,Minute,https://images-na.ssl-images-amazon.com/images/I/51Jpv+6ul4L.jpg,2.44,Grocery & Gourmet Food
051000148773,Campbell's Chunky Soup New England Clam Chowder - 15.25 oz,Campbell's Chunky,https://images-na.ssl-images-amazon.com/images/I/41Z9zw5IULS.jpg,5.63,Grocery & Gourmet Food
051000195784,Campbell's Healthy Request Chicken Noodle Soup - 15.3 oz,Campbell's,https://images-na.ssl-images-amazon.com/images/I/41cs2OAJDoL.jpg,3.34,Grocery & Gourmet Food
046000811017,Old El Paso Crunchy Taco Shells - 12 ct 4.6 oz,Old El Paso,https://images-na.ssl-images-amazon.com/images/I/51c2wXjOGwL.jpg,2.24,Grocery & Gourmet Food
072101012206,La Victoria Salsa Thick & Chunky Mild - 16 oz,La Victoria,https://images-na.ssl-images-amazon.com/images/I/41Gzqq8ODLL.jpg,7.67,Grocery & Gourmet Food
072101011360,La Victoria Green Taco Sauce Mild - 15 oz,La Victoria,https://images-na.ssl-images-amazon.com/images/I/41yBabNpytL.jpg,5.99,Grocery & Gourmet Food
024463062801,Huy Fong Sriracha Hot Chili Sauce - 9 oz,Huy Fong Foods,https://images-na.ssl-images-amazon.com/images/I/41tExI+f2qL.jpg,4.6,Grocery & Gourmet Food
041143128701,Sun Maid Natural California Raisins - 20 oz,Sun-Maid,https://images-na.ssl-images-amazon.com/images/I/412cqSoqOsL.jpg,7.37,Grocery & Gourmet Food
028000210205,Nestle Toll House Semi Sweet Chocolate Chunk Morsels - 11.5 oz,Nestle,https://images-na.ssl-images-amazon.com/images/I/51IEQN6E0cS.jpg,4.49,Grocery & Gourmet Food
